nb,rf_notune,rf_46131,rf_29101,rf_19131,drone_default,drone_v2
0.20354615,0.38591061,0.49282337,0.49711378,0.49608219,0.28459669,0.32461451
0.2003969,0.38596787,0.5046183,0.49695904,0.50431894,0.2655611,0.30304381
0.20986906,0.41189838,0.53884121,0.51435701,0.52555944,0.2783484,0.32955528
0.21263971,0.38082876,0.51345928,0.50231672,0.50603347,0.29074363,0.32902267
0.21033186,0.40242879,0.49453977,0.50408602,0.4889616,0.26973265,0.32600102
0.20423151,0.37931389,0.4977882,0.48308673,0.48112999,0.27460953,0.32523857
0.21477047,0.38719019,0.50397822,0.49176788,0.49097611,0.27981871,0.33089974
0.20268815,0.39496965,0.50997328,0.48706705,0.48307772,0.26513056,0.32363593
0.20227466,0.38440531,0.49750338,0.5147592,0.48756444,0.28107709,0.34238997
0.20847868,0.39546977,0.51448155,0.4838153,0.4974769,0.27498549,0.34212761
